U,n,merge,count,radix
2,2,7.152557373046875e-06,2.86102294921875e-06,1.0967254638671875e-05
2,4,8.821487426757812e-06,2.1457672119140625e-06,1.0967254638671875e-05
2,8,1.811981201171875e-05,2.86102294921875e-06,2.1219253540039062e-05
2,16,4.220008850097656e-05,4.0531158447265625e-06,3.1948089599609375e-05
2,32,9.965896606445312e-05,9.226799011230469e-05,6.890296936035156e-05
2,64,0.0002167224884033203,1.0967254638671875e-05,0.0001289844512939453
2,128,0.0004799365997314453,2.09808349609375e-05,0.0002722740173339844
2,256,0.0010471343994140625,3.886222839355469e-05,0.0005321502685546875
2,512,0.0022530555725097656,7.772445678710938e-05,0.0011210441589355469
2,1024,0.004506826400756836,0.0001468658447265625,0.002494335174560547
2,2048,0.009388923645019531,0.00028896331787109375,0.0042841434478759766
2,4096,0.01979207992553711,0.0005190372467041016,0.007358074188232422
2,8192,0.0380406379699707,0.0009379386901855469,0.01605701446533203
2,16384,0.07742524147033691,0.001767873764038086,0.030169248580932617
2,32768,0.1621549129486084,0.003537893295288086,0.06309819221496582
2,65536,0.3831160068511963,0.009552001953125,0.20760893821716309
2,131072,0.8232877254486084,0.018310070037841797,0.40251803398132324
2,262144,1.5510611534118652,0.03355002403259277,0.9533951282501221
2,524288,3.3315682411193848,0.07934379577636719,1.9780089855194092
4,2,1.1920928955078125e-05,4.0531158447265625e-06,1.9788742065429688e-05
4,4,7.867813110351562e-06,1.9073486328125e-06,1.1205673217773438e-05
4,8,1.5735626220703125e-05,3.0994415283203125e-06,1.7881393432617188e-05
4,16,3.695487976074219e-05,4.0531158447265625e-06,3.0994415283203125e-05
4,32,8.320808410644531e-05,6.9141387939453125e-06,5.602836608886719e-05
4,64,0.0001881122589111328,1.0967254638671875e-05,0.00013184547424316406
4,128,0.0004220008850097656,2.09808349609375e-05,0.0002238750457763672
4,256,0.0009379386901855469,3.886222839355469e-05,0.0004851818084716797
4,512,0.0020318031311035156,8.130073547363281e-05,0.0011227130889892578
4,1024,0.004436016082763672,0.00014209747314453125,0.0018780231475830078
4,2048,0.009362936019897461,0.00027108192443847656,0.003948211669921875
4,4096,0.017774105072021484,0.0004742145538330078,0.007470846176147461
4,8192,0.03795289993286133,0.0009300708770751953,0.013947010040283203
4,16384,0.07637405395507812,0.0017230510711669922,0.02723979949951172
4,32768,0.16491007804870605,0.003765106201171875,0.0586240291595459
4,65536,0.35048604011535645,0.007271766662597656,0.1245718002319336
4,131072,0.8078038692474365,0.016950130462646484,0.4436519145965576
4,262144,1.653595209121704,0.047991037368774414,1.0146031379699707
4,524288,3.4525928497314453,0.10194778442382812,2.1060779094696045
8,2,1.3113021850585938e-05,6.198883056640625e-06,3.0994415283203125e-05
8,4,9.059906005859375e-06,4.0531158447265625e-06,2.4080276489257812e-05
8,8,1.9073486328125e-05,4.0531158447265625e-06,2.1219253540039062e-05
8,16,4.601478576660156e-05,5.0067901611328125e-06,3.695487976074219e-05
8,32,0.00010418891906738281,8.821487426757812e-06,9.202957153320312e-05
8,64,0.00023508071899414062,1.430511474609375e-05,0.0001728534698486328
8,128,0.0005319118499755859,2.7179718017578125e-05,0.0002777576446533203
8,256,0.0011630058288574219,4.76837158203125e-05,0.0006072521209716797
8,512,0.002529144287109375,8.988380432128906e-05,0.0012731552124023438
8,1024,0.005525112152099609,0.0002090930938720703,0.002391815185546875
8,2048,0.01168680191040039,0.0003528594970703125,0.00494384765625
8,4096,0.025186777114868164,0.0005791187286376953,0.00867009162902832
8,8192,0.04093217849731445,0.0009338855743408203,0.013976097106933594
8,16384,0.08097481727600098,0.0017800331115722656,0.02775716781616211
8,32768,0.171295166015625,0.0038824081420898438,0.0628056526184082
8,65536,0.3727388381958008,0.008127927780151367,0.13397932052612305
8,131072,0.7810139656066895,0.01808476448059082,0.4630401134490967
8,262144,1.6390628814697266,0.05218100547790527,1.0805339813232422
8,524288,3.625154972076416,0.12272214889526367,2.281702995300293
16,2,1.2159347534179688e-05,6.9141387939453125e-06,4.100799560546875e-05
16,4,8.821487426757812e-06,3.814697265625e-06,2.7179718017578125e-05
16,8,2.002716064453125e-05,4.76837158203125e-06,4.220008850097656e-05
16,16,4.601478576660156e-05,7.152557373046875e-06,3.981590270996094e-05
16,32,0.000102996826171875,1.0013580322265625e-05,6.890296936035156e-05
16,64,0.00023508071899414062,1.5735626220703125e-05,0.00015997886657714844
16,128,0.0005280971527099609,2.5987625122070312e-05,0.0002620220184326172
16,256,0.0011188983917236328,4.7206878662109375e-05,0.0005829334259033203
16,512,0.002446889877319336,8.296966552734375e-05,0.0011782646179199219
16,1024,0.004981040954589844,0.00016999244689941406,0.0019502639770507812
16,2048,0.009777069091796875,0.0002949237823486328,0.004069805145263672
16,4096,0.020743131637573242,0.0005998611450195312,0.0072650909423828125
16,8192,0.03815197944641113,0.0009279251098632812,0.014715194702148438
16,16384,0.08073592185974121,0.0017931461334228516,0.027554035186767578
16,32768,0.1726362705230713,0.003648996353149414,0.06183910369873047
16,65536,0.3669111728668213,0.007837057113647461,0.1431138515472412
16,131072,0.7987918853759766,0.018579959869384766,0.46449708938598633
16,262144,1.6580920219421387,0.05498790740966797,1.1344211101531982
16,524288,3.5717389583587646,0.12560367584228516,2.2966880798339844
32,2,1.2159347534179688e-05,8.821487426757812e-06,4.9114227294921875e-05
32,4,9.059906005859375e-06,6.9141387939453125e-06,3.910064697265625e-05
32,8,2.0265579223632812e-05,6.9141387939453125e-06,4.291534423828125e-05
32,16,4.601478576660156e-05,9.059906005859375e-06,7.891654968261719e-05
32,32,0.00010275840759277344,1.1920928955078125e-05,7.605552673339844e-05
32,64,0.00023412704467773438,1.811981201171875e-05,0.00016069412231445312
32,128,0.0005266666412353516,3.0994415283203125e-05,0.0002753734588623047
32,256,0.0011649131774902344,5.078315734863281e-05,0.0006110668182373047
32,512,0.0024662017822265625,9.179115295410156e-05,0.0012249946594238281
32,1024,0.005037069320678711,0.0001499652862548828,0.0019948482513427734
32,2048,0.009801149368286133,0.0002849102020263672,0.004105091094970703
32,4096,0.020490169525146484,0.0005209445953369141,0.007047176361083984
32,8192,0.03785991668701172,0.0009431838989257812,0.015326976776123047
32,16384,0.08064579963684082,0.0018928050994873047,0.028315305709838867
32,32768,0.1730649471282959,0.003854990005493164,0.06101512908935547
32,65536,0.3658261299133301,0.007444143295288086,0.13619494438171387
32,131072,0.7813920974731445,0.020536184310913086,0.4983510971069336
32,262144,1.6517770290374756,0.05561685562133789,1.1839139461517334
32,524288,3.609464168548584,0.13457202911376953,2.427081823348999
64,2,1.2874603271484375e-05,1.5020370483398438e-05,5.984306335449219e-05
64,4,9.775161743164062e-06,1.1205673217773438e-05,3.886222839355469e-05
64,8,2.09808349609375e-05,1.1920928955078125e-05,4.6253204345703125e-05
64,16,4.57763671875e-05,1.3113021850585938e-05,8.0108642578125e-05
64,32,0.00010395050048828125,1.5974044799804688e-05,0.00015401840209960938
64,64,0.00023603439331054688,2.288818359375e-05,0.00017595291137695312
64,128,0.0005249977111816406,3.4809112548828125e-05,0.0002770423889160156
64,256,0.0011670589447021484,5.507469177246094e-05,0.0005879402160644531
64,512,0.002466917037963867,9.608268737792969e-05,0.0012350082397460938
64,1024,0.005110740661621094,0.00015997886657714844,0.002046823501586914
64,2048,0.00981593132019043,0.000286102294921875,0.004168033599853516
64,4096,0.02056598663330078,0.00048279762268066406,0.007246255874633789
64,8192,0.0383763313293457,0.0009827613830566406,0.014132022857666016
64,16384,0.08221793174743652,0.0018889904022216797,0.02906012535095215
64,32768,0.17133712768554688,0.003702878952026367,0.05826568603515625
64,65536,0.37335777282714844,0.007636070251464844,0.1374049186706543
64,131072,0.7798418998718262,0.015342950820922852,0.47343897819519043
64,262144,1.6501212120056152,0.05335807800292969,1.1717650890350342
64,524288,3.8762731552124023,0.1378612518310547,2.8102340698242188
128,2,1.7881393432617188e-05,7.200241088867188e-05,7.224082946777344e-05
128,4,1.0967254638671875e-05,2.47955322265625e-05,5.91278076171875e-05
128,8,2.193450927734375e-05,2.5033950805664062e-05,7.414817810058594e-05
128,16,5.1021575927734375e-05,2.5987625122070312e-05,8.606910705566406e-05
128,32,0.00011181831359863281,2.9087066650390625e-05,0.00017905235290527344
128,64,0.00025081634521484375,3.528594970703125e-05,0.0003159046173095703
128,128,0.0005528926849365234,4.982948303222656e-05,0.0003421306610107422
128,256,0.001233816146850586,8.0108642578125e-05,0.0006990432739257812
128,512,0.0025849342346191406,0.00011801719665527344,0.0013408660888671875
128,1024,0.005905866622924805,0.00021386146545410156,0.0026221275329589844
128,2048,0.011385679244995117,0.0003409385681152344,0.004474163055419922
128,4096,0.022201061248779297,0.0007040500640869141,0.00951695442199707
128,8192,0.04692196846008301,0.0012137889862060547,0.019805192947387695
128,16384,0.09583115577697754,0.002207040786743164,0.03445720672607422
128,32768,0.2120990753173828,0.006332874298095703,0.07611703872680664
128,65536,0.38182663917541504,0.007992982864379883,0.1409897804260254
128,131072,0.8420312404632568,0.0204160213470459,0.5463941097259521
128,262144,1.7070591449737549,0.04688715934753418,1.1758759021759033
128,524288,3.650444984436035,0.13364005088806152,2.523237943649292
256,2,1.1920928955078125e-05,7.796287536621094e-05,8.487701416015625e-05
256,4,1.0013580322265625e-05,4.1961669921875e-05,5.7697296142578125e-05
256,8,2.002716064453125e-05,4.1961669921875e-05,7.009506225585938e-05
256,16,4.6253204345703125e-05,4.291534423828125e-05,8.58306884765625e-05
256,32,0.00010395050048828125,4.601478576660156e-05,0.00015401840209960938
256,64,0.00023603439331054688,5.2928924560546875e-05,0.0003001689910888672
256,128,0.0005252361297607422,6.580352783203125e-05,0.0006070137023925781
256,256,0.0011289119720458984,8.916854858398438e-05,0.0006489753723144531
256,512,0.0024700164794921875,0.0001270771026611328,0.0012009143829345703
256,1024,0.0048980712890625,0.00018215179443359375,0.001990795135498047
256,2048,0.009839057922363281,0.00032401084899902344,0.004117012023925781
256,4096,0.020489931106567383,0.0005507469177246094,0.006984233856201172
256,8192,0.03785109519958496,0.0009601116180419922,0.01394796371459961
256,16384,0.080780029296875,0.0019037723541259766,0.02867293357849121
256,32768,0.1793222427368164,0.004365205764770508,0.06196784973144531
256,65536,0.36943602561950684,0.007846832275390625,0.14383220672607422
256,131072,0.8098750114440918,0.017217159271240234,0.5367908477783203
256,262144,1.6623961925506592,0.05096769332885742,1.174717903137207
256,524288,3.6044280529022217,0.13509106636047363,2.5259690284729004
512,2,1.2159347534179688e-05,0.00011301040649414062,9.799003601074219e-05
512,4,1.0013580322265625e-05,8.296966552734375e-05,7.200241088867188e-05
512,8,2.002716064453125e-05,8.20159912109375e-05,7.295608520507812e-05
512,16,4.506111145019531e-05,8.416175842285156e-05,0.0001289844512939453
512,32,0.00010418891906738281,8.702278137207031e-05,0.00015211105346679688
512,64,0.00023293495178222656,9.5367431640625e-05,0.0002987384796142578
512,128,0.0005249977111816406,0.00010776519775390625,0.0006010532379150391
512,256,0.0011649131774902344,0.00013518333435058594,0.001252889633178711
512,512,0.0024809837341308594,0.00017786026000976562,0.0013680458068847656
512,1024,0.005141019821166992,0.000247955322265625,0.002067089080810547
512,2048,0.009925127029418945,0.00036716461181640625,0.004289865493774414
512,4096,0.020607948303222656,0.0006132125854492188,0.0070989131927490234
512,8192,0.03779792785644531,0.0010159015655517578,0.014066934585571289
512,16384,0.0806431770324707,0.0019860267639160156,0.030525922775268555
512,32768,0.17211318016052246,0.0039038658142089844,0.06096291542053223
512,65536,0.3715221881866455,0.00858616828918457,0.14310383796691895
512,131072,0.7913880348205566,0.019861936569213867,0.5136792659759521
512,262144,1.7211997509002686,0.053056955337524414,1.208745002746582
512,524288,3.7171967029571533,0.13141083717346191,2.5827178955078125
1024,2,1.3113021850585938e-05,0.00022172927856445312,0.00011396408081054688
1024,4,1.0251998901367188e-05,0.00018286705017089844,7.486343383789062e-05
1024,8,2.193450927734375e-05,0.00018405914306640625,9.799003601074219e-05
1024,16,4.601478576660156e-05,0.00018405914306640625,0.00012922286987304688
1024,32,0.00010395050048828125,0.0001881122589111328,0.0001652240753173828
1024,64,0.00023674964904785156,0.0002090930938720703,0.0002899169921875
1024,128,0.0005087852478027344,0.0002071857452392578,0.0005829334259033203
1024,256,0.0011289119720458984,0.0002391338348388672,0.0012328624725341797
1024,512,0.0023949146270751953,0.0002951622009277344,0.002440214157104492
1024,1024,0.004595041275024414,0.0003657341003417969,0.002192258834838867
1024,2048,0.009913921356201172,0.000553131103515625,0.004156827926635742
1024,4096,0.01999521255493164,0.0006437301635742188,0.007225990295410156
1024,8192,0.038205862045288086,0.0011332035064697266,0.014949798583984375
1024,16384,0.08221125602722168,0.0021126270294189453,0.030288219451904297
1024,32768,0.1748371124267578,0.0039479732513427734,0.0646522045135498
1024,65536,0.3693869113922119,0.007927656173706055,0.16878008842468262
1024,131072,0.7943820953369141,0.022766828536987305,0.5052831172943115
1024,262144,1.7582159042358398,0.05626082420349121,1.1657240390777588
1024,524288,3.7589669227600098,0.13553309440612793,2.6992738246917725
2048,2,1.1920928955078125e-05,0.0004029273986816406,0.00012683868408203125
2048,4,1.0013580322265625e-05,0.0003559589385986328,9.298324584960938e-05
2048,8,2.09808349609375e-05,0.0003552436828613281,9.894371032714844e-05
2048,16,4.601478576660156e-05,0.0003561973571777344,0.00012969970703125
2048,32,0.00010395050048828125,0.0003650188446044922,0.00024771690368652344
2048,64,0.00023412704467773438,0.000370025634765625,0.00030517578125
2048,128,0.0005059242248535156,0.00037407875061035156,0.0005810260772705078
2048,256,0.0011208057403564453,0.00041222572326660156,0.0012290477752685547
2048,512,0.0023908615112304688,0.00044989585876464844,0.002473115921020508
2048,1024,0.0045528411865234375,0.0005099773406982422,0.00452113151550293
2048,2048,0.00986027717590332,0.0006997585296630859,0.004531145095825195
2048,4096,0.019446849822998047,0.0008270740509033203,0.007111072540283203
2048,8192,0.03804206848144531,0.0012907981872558594,0.014580011367797852
2048,16384,0.08129167556762695,0.0023250579833984375,0.028873205184936523
2048,32768,0.17327284812927246,0.004274129867553711,0.06182599067687988
2048,65536,0.3726179599761963,0.008504867553710938,0.17228913307189941
2048,131072,0.796302080154419,0.021430015563964844,0.5064291954040527
2048,262144,1.7640047073364258,0.05908513069152832,1.1963622570037842
2048,524288,3.8277809619903564,0.14124393463134766,2.557582139968872
4096,2,1.3113021850585938e-05,0.0008790493011474609,0.00013899803161621094
4096,4,1.0013580322265625e-05,0.0007390975952148438,9.608268737792969e-05
4096,8,2.09808349609375e-05,0.0008182525634765625,0.00010275840759277344
4096,16,4.601478576660156e-05,0.0006999969482421875,0.00013589859008789062
4096,32,0.0001010894775390625,0.0007040500640869141,0.00024509429931640625
4096,64,0.00022792816162109375,0.0007429122924804688,0.00031685829162597656
4096,128,0.0005092620849609375,0.0007367134094238281,0.0006022453308105469
4096,256,0.0010890960693359375,0.0008108615875244141,0.0011966228485107422
4096,512,0.002229928970336914,0.0007390975952148438,0.0021927356719970703
4096,1024,0.004563808441162109,0.0008280277252197266,0.004574298858642578
4096,2048,0.009766101837158203,0.0010151863098144531,0.009088754653930664
4096,4096,0.020372867584228516,0.0012438297271728516,0.00803685188293457
4096,8192,0.04164886474609375,0.001798868179321289,0.016476154327392578
4096,16384,0.08198928833007812,0.0026597976684570312,0.03134322166442871
4096,32768,0.1831519603729248,0.004782676696777344,0.07857108116149902
4096,65536,0.3764371871948242,0.008938074111938477,0.21217799186706543
4096,131072,0.8109498023986816,0.026036977767944336,0.5283589363098145
4096,262144,1.8836259841918945,0.07454800605773926,1.3482470512390137
4096,524288,3.9271938800811768,0.15679192543029785,2.7189230918884277
8192,2,1.1920928955078125e-05,0.0018720626831054688,0.00015783309936523438
8192,4,1.0013580322265625e-05,0.0017311573028564453,0.00011491775512695312
8192,8,2.09808349609375e-05,0.0014150142669677734,0.00012993812561035156
8192,16,4.410743713378906e-05,0.0014650821685791016,0.00018906593322753906
8192,32,0.00010395050048828125,0.0014562606811523438,0.0002460479736328125
8192,64,0.0002269744873046875,0.0014863014221191406,0.0004868507385253906
8192,128,0.0004940032958984375,0.0014867782592773438,0.0005540847778320312
8192,256,0.0010280609130859375,0.0015559196472167969,0.0011601448059082031
8192,512,0.0021660327911376953,0.0013680458068847656,0.0021779537200927734
8192,1024,0.004555940628051758,0.0014362335205078125,0.004436016082763672
8192,2048,0.009660005569458008,0.001689910888671875,0.008969783782958984
8192,4096,0.01803112030029297,0.0017249584197998047,0.015682220458984375
8192,8192,0.03860902786254883,0.002262115478515625,0.015620946884155273
8192,16384,0.08416318893432617,0.003448009490966797,0.029443025588989258
8192,32768,0.174774169921875,0.005714893341064453,0.06847810745239258
8192,65536,0.3732280731201172,0.011049270629882812,0.22998499870300293
8192,131072,0.8522379398345947,0.02942824363708496,0.5803718566894531
8192,262144,1.8012950420379639,0.06114983558654785,1.226327657699585
8192,524288,3.876499891281128,0.1579301357269287,2.7758278846740723
16384,2,1.3113021850585938e-05,0.0037567615509033203,0.00017905235290527344
16384,4,1.0013580322265625e-05,0.003470182418823242,0.00011801719665527344
16384,8,2.002716064453125e-05,0.003401041030883789,0.00013208389282226562
16384,16,4.506111145019531e-05,0.003329753875732422,0.00017118453979492188
16384,32,9.489059448242188e-05,0.0029420852661132812,0.0002110004425048828
16384,64,0.0001952648162841797,0.002652883529663086,0.0003960132598876953
16384,128,0.00042819976806640625,0.0026748180389404297,0.0005300045013427734
16384,256,0.0009400844573974609,0.0027229785919189453,0.0010859966278076172
16384,512,0.002057790756225586,0.0028171539306640625,0.002290964126586914
16384,1024,0.004419088363647461,0.002878904342651367,0.004246950149536133
16384,2048,0.009489774703979492,0.003143787384033203,0.008129119873046875
16384,4096,0.019711971282958984,0.003448009490966797,0.01572704315185547
16384,8192,0.03795576095581055,0.00345611572265625,0.03111720085144043
16384,16384,0.08242583274841309,0.004840850830078125,0.03392791748046875
16384,32768,0.17648530006408691,0.006893634796142578,0.06883406639099121
16384,65536,0.37877511978149414,0.01163482666015625,0.2007439136505127
16384,131072,0.8161520957946777,0.027820825576782227,0.5568509101867676
16384,262144,1.8160650730133057,0.07047390937805176,1.2958788871765137
16384,524288,3.887387990951538,0.1579127311706543,2.609205961227417
32768,2,1.2874603271484375e-05,0.007264137268066406,0.00019478797912597656
32768,4,1.0013580322265625e-05,0.00845479965209961,0.00013208389282226562
32768,8,2.0265579223632812e-05,0.005860805511474609,0.00011801719665527344
32768,16,3.719329833984375e-05,0.005371809005737305,0.0001571178436279297
32768,32,8.511543273925781e-05,0.006563901901245117,0.0002257823944091797
32768,64,0.0001919269561767578,0.005402088165283203,0.0003948211669921875
32768,128,0.0004169940948486328,0.005279064178466797,0.0007719993591308594
32768,256,0.0009150505065917969,0.00644993782043457,0.0010061264038085938
32768,512,0.0020220279693603516,0.005484104156494141,0.0017902851104736328
32768,1024,0.003952980041503906,0.004954099655151367,0.004476070404052734
32768,2048,0.008175134658813477,0.0048220157623291016,0.007614850997924805
32768,4096,0.018680810928344727,0.005403280258178711,0.016653776168823242
32768,8192,0.042803049087524414,0.007098197937011719,0.034461021423339844
32768,16384,0.08601808547973633,0.00867605209350586,0.07367396354675293
32768,32768,0.1800241470336914,0.009641885757446289,0.07621097564697266
32768,65536,0.38030004501342773,0.014969110488891602,0.20385479927062988
32768,131072,0.8365070819854736,0.035089969635009766,0.5884268283843994
32768,262144,1.8130669593811035,0.07599425315856934,1.2765491008758545
32768,524288,3.899507999420166,0.16935992240905762,2.7710649967193604
65536,2,1.3113021850585938e-05,0.013855934143066406,0.00019884109497070312
65536,4,9.775161743164062e-06,0.01140904426574707,0.00011897087097167969
65536,8,1.6927719116210938e-05,0.010790109634399414,0.0001399517059326172
65536,16,3.790855407714844e-05,0.010544061660766602,0.00016117095947265625
65536,32,8.296966552734375e-05,0.010509014129638672,0.0002796649932861328
65536,64,0.00018095970153808594,0.009573221206665039,0.00033283233642578125
65536,128,0.0003509521484375,0.011199235916137695,0.0007488727569580078
65536,256,0.0007748603820800781,0.009385824203491211,0.0013089179992675781
65536,512,0.001695871353149414,0.009582996368408203,0.0017998218536376953
65536,1024,0.003718852996826172,0.009933233261108398,0.003705739974975586
65536,2048,0.008235931396484375,0.010936975479125977,0.007653236389160156
65536,4096,0.017966747283935547,0.010934114456176758,0.015570878982543945
65536,8192,0.037986040115356445,0.011210918426513672,0.03240489959716797
65536,16384,0.0818781852722168,0.014249086380004883,0.07271409034729004
65536,32768,0.17612433433532715,0.016399860382080078,0.19516396522521973
65536,65536,0.38240885734558105,0.028240680694580078,0.2849130630493164
65536,131072,1.0310509204864502,0.0809941291809082,0.6856241226196289
65536,262144,2.0433011054992676,0.09861993789672852,1.3157739639282227
65536,524288,3.908163070678711,0.20209598541259766,3.1213431358337402
131072,2,1.8358230590820312e-05,0.02753901481628418,0.00020384788513183594
131072,4,9.059906005859375e-06,0.021746158599853516,0.00013709068298339844
131072,8,1.6927719116210938e-05,0.021782875061035156,0.00013494491577148438
131072,16,3.409385681152344e-05,0.019099712371826172,0.0001800060272216797
131072,32,7.104873657226562e-05,0.02339315414428711,0.0002551078796386719
131072,64,0.00015783309936523438,0.03134298324584961,0.00041604042053222656
131072,128,0.00041484832763671875,0.02640509605407715,0.0008368492126464844
131072,256,0.0009200572967529297,0.03101801872253418,0.0017309188842773438
131072,512,0.0020639896392822266,0.031011104583740234,0.002196073532104492
131072,1024,0.004640102386474609,0.03207898139953613,0.0046961307525634766
131072,2048,0.00974893569946289,0.0262298583984375,0.008631706237792969
131072,4096,0.018000125885009766,0.024318933486938477,0.016405105590820312
131072,8192,0.03948497772216797,0.025248050689697266,0.03411602973937988
131072,16384,0.08511114120483398,0.025060176849365234,0.06946396827697754
131072,32768,0.1820511817932129,0.03338193893432617,0.2544260025024414
131072,65536,0.4899780750274658,0.06308412551879883,0.6088709831237793
131072,131072,0.8848099708557129,0.0710749626159668,0.5772397518157959
131072,262144,1.8068211078643799,0.12126827239990234,1.3130230903625488
131072,524288,3.8904800415039062,0.22544503211975098,2.8504557609558105
262144,2,1.2874603271484375e-05,0.05167102813720703,0.0002181529998779297
262144,4,1.0013580322265625e-05,0.0538020133972168,0.00015306472778320312
262144,8,1.8835067749023438e-05,0.05844688415527344,0.00016117095947265625
262144,16,3.910064697265625e-05,0.05692696571350098,0.0002200603485107422
262144,32,8.487701416015625e-05,0.060497283935546875,0.00030517578125
262144,64,0.0001881122589111328,0.06598520278930664,0.0004432201385498047
262144,128,0.0004200935363769531,0.054971933364868164,0.0007109642028808594
262144,256,0.0007810592651367188,0.05190682411193848,0.0014719963073730469
262144,512,0.0017271041870117188,0.05886411666870117,0.002348184585571289
262144,1024,0.004420280456542969,0.06116485595703125,0.00453495979309082
262144,2048,0.009221792221069336,0.058657169342041016,0.008951187133789062
262144,4096,0.01791214942932129,0.06261587142944336,0.018392086029052734
262144,8192,0.03803229331970215,0.05658698081970215,0.035798072814941406
262144,16384,0.08414101600646973,0.06373786926269531,0.07445502281188965
262144,32768,0.17524290084838867,0.07673001289367676,0.2059638500213623
262144,65536,0.38417983055114746,0.08789491653442383,0.588890790939331
262144,131072,0.8285877704620361,0.12325620651245117,1.5826220512390137
262144,262144,1.784029245376587,0.18111705780029297,1.3121581077575684
262144,524288,3.8795857429504395,0.3315122127532959,2.713352918624878
524288,2,1.2874603271484375e-05,0.16691184043884277,0.00023698806762695312
524288,4,1.0967254638671875e-05,0.19661617279052734,0.0001766681671142578
524288,8,1.9788742065429688e-05,0.18757033348083496,0.00019097328186035156
524288,16,4.100799560546875e-05,0.17987394332885742,0.00022912025451660156
524288,32,8.821487426757812e-05,0.17255473136901855,0.0003199577331542969
524288,64,0.00019407272338867188,0.16379404067993164,0.0006051063537597656
524288,128,0.00043010711669921875,0.18858695030212402,0.0008749961853027344
524288,256,0.0009448528289794922,0.21218490600585938,0.0017399787902832031
524288,512,0.0020668506622314453,0.18359613418579102,0.0037539005279541016
524288,1024,0.004549980163574219,0.18076491355895996,0.004884004592895508
524288,2048,0.00978708267211914,0.1613008975982666,0.01071310043334961
524288,4096,0.020685911178588867,0.18306803703308105,0.01958298683166504
524288,8192,0.03944587707519531,0.212615966796875,0.038455963134765625
524288,16384,0.08221006393432617,0.1815779209136963,0.07676815986633301
524288,32768,0.17894601821899414,0.19505786895751953,0.19236516952514648
524288,65536,0.37704896926879883,0.24256372451782227,0.6080100536346436
524288,131072,0.825653076171875,0.238541841506958,1.6163990497589111
524288,262144,1.7607460021972656,0.31836700439453125,3.55291485786438
524288,524288,3.8313260078430176,0.4803452491760254,3.0133001804351807
